no,zi,pianmu,nianji,ci,jisici,jisici_zuci
1,晨,1,3,"早晨, 清晨, 晨昏, 晨钟暮鼓",辰，震,"星辰, 地震"
2,绒,1,3,"绒球花, 绒毛, 羽绒, 丝绒",贼,"盗贼, 戎装"
3,球,1,3,"绒球花, 球体, 篮球场, 足球",求，环,"追求, 环绕"
4,汉,1,3,"汉族, 西汉, 汉子, 英雄好汉",叹，权,"感叹, 权力"
5,艳,1,3,"鲜艳, 艳丽, 娇艳, 争奇斗艳",绝,"绝迹, 绝望"
6,服,1,3,"服装, 衣服, 服从, 水土不服",报，肌,"报纸, 肌肉"
7,装,1,3,"服装, 时装, 军装, 装扮, 化装",袋，袭,"袋子, 袭击"
8,扮,1,3,"打扮, 扮演, 装扮, 女扮男装",份，汾,"一份, 汾河"
9,静,1,3,"安静, 宁静, 静止, 风平浪静",净，睁,"干净, 睁睁眼"
10,停,1,3,"停止, 停泊, 马不停蹄, 停留",亭,"亭子, 亭亭玉立"
11,孔,1,3,"孔雀, 鼻孔, 针孔, 无孔不入",孙，扎,"子孙, 扎根"
12,雀,1,3,"孔雀, 麻雀, 山雀, 鸦雀无声",省，崔,"节省, 姓崔"
13,粗,1,3,"粗壮, 粗心, 粗声粗气, 粗暴",祖，沮,"祖国, 沮丧"
14,落,2,3,"落下, 落叶, 落后, 落选, 村落",洛，络,"洛阳, 联络"
15,荒,2,3,"荒野, 荒芜, 荒地, 饥荒, 荒年",慌，谎,"慌张, 说谎"
16,笛,2,3,"笛笛, 笛子, 长笛, 警笛, 汽笛",迪，油,"启迪, 汽油"
17,舞,2,3,"跳舞, 舞会, 舞蹈, 舞文弄墨",舜,舜帝
18,狂,2,3,"狂欢, 狂喜, 狂澜, 狂风暴雨",旺，汪,"旺盛, 汪洋"
19,罚,2,3,"惩罚, 责罚, 处罚, 赏罚分明",罪,"罪恶, 弥天大罪"
20,假,2,3,"放假, 假期, 寒假, 请假, 度假",暇，瑕,"闲暇, 瑕疵"
21,互,2,3,"互相, 互助, 互动, 互不相容",瓦,瓦片
22,所,2,3,"各尽所能, 住所, 各得其所",欣，听,"欣赏, 听见"
23,够,2,3,"能够, 足够, 够数, 够用",移，侈,"移动, 奢侈"
24,猜,2,3,"猜出, 猜想, 猜谜, 猜疑",情，晴,"热情, 晴天"
25,扬,2,3,"扬起, 趾高气扬, 飘扬, 飞扬",杨，汤,"杨树, 汤汁"
26,臂,2,3,"双臂, 手臂, 左膀右臂, 振臂高呼",壁，璧,"壁画, 和氏璧"
27,寒,4,3,"寒冷, 严寒, 贫寒, 寒门学子",,"比赛, 边塞"
28,径,4,3,"小径, 曲径通幽, 直径, 半径",,"经常, 轻松"
29,斜,4,3,"斜坡, 斜阳, 斜视, 目不斜视",,"叙述, 材料"
30,霜,4,3,"白霜, 霜冻, 下霜, 冷若冰霜",,"大雾, 箱子"
31,赠,4,3,"赠品, 捐赠, 赠送, 赠礼, 馈赠",,"增加, 憎恨"
32,刘,4,3,"刘阿姨, 刘老师, 姓刘",,"列车, 文化"
33,盖,4,3,"华盖, 遮盖, 锅盖, 铺天盖地",,"有益, 盗窃"
34,菊,4,3,"菊花, 秋菊, 墨菊, 菊花茶",,"葡萄, 苟且"
35,残,4,3,"残阳, 残菊, 残缺不全, 残忍",,"卑贱, 浅滩"
36,君,4,3,"君子, 君王, 国君, 君临天下",,"伊人, 竹笋"
37,橙,4,3,"橙子, 橙汁, 橙色, 橙红, 橙黄",,"澄澈, 瞪眼"
38,送,4,3,"欢送会, 送信, 送回, 雪中送炭",,"运输, 运送"
39,挑,4,3,"挑动, 挑拨离间, 挑灯夜战",,"桃树, 眺望"
40,铺,5,3,"铺满, 铺床, 铺展, 铺天盖地",,"辅导, 捕捉"
41,泥,5,3,"水泥, 泥土, 泥巴, 印泥, 枣泥",,"妮子, 呢喃"
42,晶,5,3,"亮晶晶, 晶莹, 水晶, 晶莹剔透",,"品味, 歌唱"
43,院,5,3,"院墙, 院子, 深宅大院, 医院",,"完成, 浣纱"
44,墙,5,3,"院墙, 墙头, 城墙, 狗急跳墙",,"增加, 桅樯"
45,印,5,3,"翻印, 排印, 印刷, 脚印, 烙印",,"卯时, 即使"
46,排,5,3,"排列, 排队, 一排, 并排, 前排",,"是非, 徘徊"
47,列,5,3,"排列, 列举, 陈列, 队列, 出列",,"烈士, 到处"
48,规,5,3,"规律, 规劝, 规划, 圆规",,"呈现, 观赏"
49,则,5,3,"规则, 原则, 准则, 以身作则",,"失败, 侧面"
50,乱,5,3,"凌乱, 叛乱, 战乱, 以假乱真",,"刮风, 刮胡子"
51,棕,5,3,"棕红色, 棕熊, 棕榈, 棕毛",,"踪迹, 综合"
52,迟,5,3,"迟到, 迟缓, 迟钝, 事不宜迟",,"尺度, 返回"
53,盒,6,3,"一盒, 机顶盒, 文具盒, 饭盒",,"盆景, 酒盅"
54,颜,6,3,"颜色, 五颜六色, 笑逐颜开",,"谚语, 必须"
55,料,6,3,"颜料, 木料, 预料, 料事如神",,"科学, 米粉"
56,票,6,3,"邮票, 选票, 售票员, 钞票",,"漂亮, 飘扬"
57,争,6,3,"争抢, 战争, 争取, 争论, 争吵",,"挣扎, 着急"
58,仙,6,3,"仙子, 仙女, 仙界, 八仙过海",,"灿烂, 汕头"
59,闻,6,3,"好闻, 耳闻目睹, 丑闻, 新闻",,"时间, 问题"
60,勾,6,3,"勾住, 勾引, 勾起, 勾描, 勾画",,"句子, 鱼钩"
61,紧,6,3,"加紧, 紧密, 紧迫, 松紧, 捆紧",,"紫红, 柳絮"
62,洞,6,3,"挖洞, 山洞, 洞穴, 洞若观火",,"油桐, 恫吓"
63,油,6,3,"油亮亮, 猪油, 油腔滑调",,"抽取, 邮票"
64,曲,6,3,"一曲, 曲子, 歌曲, 异曲同工",,"字典, 由于"
65,丰,6,3,"丰收, 丰年, 丰碑, 丰功伟绩",,"半天, 山羊"
66,柴,8,3,"火柴, 木柴, 柴火, 骨瘦如柴",,"紫色, 毕业"
67,旧,8,3,"破旧, 依旧, 陈旧, 重修旧好",,"害怕, 日期"
68,裙,8,3,"围裙, 裙子, 衬裙, 连衣裙",,"群众, 郡县"
69,怜,8,3,"可怜, 怜悯, 怜惜, 怜香惜玉",,"寒冷, 铃声"
70,饿,8,3,"又冷又饿, 饥饿, 忍饥挨饿",,"蚕蛾, 巍峨"
71,焰,8,3,"火焰, 气焰, 烈焰, 气焰嚣张",,"陷阱, 谄媚"
72,蜡,8,3,"蜡烛, 蜂蜡, 石蜡, 白蜡",,"珍惜, 腊月"
73,烛,8,3,"蜡烛, 烛光, 烛台, 火光烛天",,"侵蚀, 炉子"
74,伸,8,3,"伸出, 伸展, 伸手, 能屈能伸",,"神仙, 绅士"
75,忽,8,3,"忽然, 忽高忽低, 忽视, 忽略",,"葱茏, 忍心"
76,板,8,3,"地板, 黑板, 铁板, 有板有眼",,"吃饭, 出版"
77,富,8,3,"富商, 丰富, 富饶, 富可敌国",,"福气, 副手"
78,颗,8,3,"一颗, 一颗黄豆, 颗粒无收",,"一棵树, 上课"
79,旅,10,3,"旅行, 旅馆, 旅途, 军旅生活",,"放开, 民族"
80,咱,10,3,"咱们, 咱俩, 咱不懂",,"咀嚼, 泪水"
81,偷,10,3,"偷枣, 小偷, 偷听, 偷拍, 偷生",,"榆树, 愉快"
82,救,10,3,"救命, 搭救, 救火, 救死扶伤",,"圆球, 请求"
83,命,10,3,"救命, 生命, 人命关天, 任命",,"雨伞, 不舍"
84,拼,10,3,"拼命, 拼接, 拼图, 东拼西凑",,"饼干, 并且"
85,扫,10,3,"扫描, 扫射, 扫地, 一扫而光",,"妇女, 回归"
86,胃,10,3,"胃病, 胃液, 反胃, 胃口大开",,"甲胄, 冒泡"
87,管,10,3,"管家, 管理, 不管不顾, 不管",,"草菅人命, 军营"
88,乎,10,3,"出乎, 在乎, 出乎意料, 合乎情理",,"呼吸, 平安"
89,流,10,3,"流淌, 流通, 气流, 川流不息",,"梳头, 琉璃"
90,泪,10,3,"眼泪, 泪水, 泪花, 声泪俱下",,"互相, 汩汩"
91,算,10,3,"就算, 算术, 计算, 打算, 失算",,"篡改, 鼻子"
92,准,12,3,"准备, 批准, 准许, 准则, 标准",,"淮河, 土堆"
93,备,12,3,"准备, 完备, 德才兼备, 装备",,"奋力, 各尽所能"
94,等,12,3,"等候, 等待, 上等, 等级, 特等",,"第一, 寺院"
95,暴,12,3,"暴风雨, 暴怒, 暴躁, 粗暴",,"瀑布, 爆炸"
96,睡,12,3,"睡觉, 睡眠, 睡梦, 睡眼惺忪",,"锤子, 捶打"
97,壁,12,3,"墙壁, 壁画, 峭壁, 作壁上观",,"白璧, 手臂"
98,砍,12,3,"砍光, 砍树, 砍伐, 乱砍滥伐",,"吹灭, 饮料"
99,蜘,12,3,蜘蛛,,"知道, 知识"
100,蛛,12,3,"蜘蛛, 蛛网, 狼蛛, 蛛丝马迹",,"珍珠, 守株待兔"
101,漂,12,3,"漂亮, 漂亮话",,"缥缈, 瞟一眼"
102,撞,12,3,"碰撞, 撞翻, 撞击, 横冲直撞",,"一幢, 憧憬"
103,饱,12,3,"吃饱, 饱满, 饱含, 大饱眼福",,"跑步, 咆哮"
104,晒,12,3,"晒太阳, 晾晒, 风吹日晒",,"西方, 洒落"
105,搭,15,3,"搭船, 搭台, 搭积木, 牵线搭桥",,"灯塔, 拾取"
106,亲,15,3,"母亲, 亲人, 非亲非故, 亲切",,"条纹, 复杂"
107,父,15,3,"外祖父, 父亲, 父母, 衣食父母",,"交往, 艾草"
108,沙,15,3,"沙拉, 沙土, 沙里淘金, 豆沙",,"纺纱, 抄写"
109,啦,15,3,"沙啦, 啦啦队, 叽里呱啦",,"拉手, 拉住"
110,响,15,3,"一声不响, 响亮, 影响, 响声",,"晌午, 方向"
111,羽,15,3,"羽毛, 羽绒, 羽扇, 羽翼丰满",,"栩栩如生, 自诩"
112,翠,15,3,"翠绿, 翠竹, 翡翠, 珠翠",,"荟萃, 后羿射日"
113,嘴,15,3,"嘴巴, 嘴唇, 尖嘴猴腮, 多嘴",,"啃咬, 准确"
114,悄,15,3,"静悄悄, 悄悄话, 悄悄",,"消灭, 俏丽"
115,吞,15,3,"吞咽, 吞吐, 吞下, 气吞山河",,"吝啬, 养蚕"
116, ,15,3, ,,"饥饿, 嫦娥"
117,捕,15,3,"捕鱼, 捕食, 捕获, 捕风捉影",,"铺开, 果脯"
118,蒲,16,3,"蒲公英, 蒲包, 蒲草, 蒲扇",,"铺天盖地, 葡萄"
119,英,16,3,"蒲公英, 英俊, 英雄, 飒爽英姿",,"豆荚, 中央"
120,盛,16,3,"盛开, 茂盛, 盛会, 年轻气盛",,"成功, 盘子"
121,耍,16,3,"玩耍, 耍聪明, 耍刀, 耍猴儿",,"不要, 需要"
122,喊,16,3,"喊叫, 呼喊, 叫喊, 大喊大叫",,"减去, 咸菜"
123,欠,16,3,"打哈欠, 欠债, 欠钱, 拖欠",,"吹牛, 长久"
124,钓,16,3,"钓鱼, 垂钓, 钓竿, 沽名钓誉",,"鱼钩, 豹子"
125,而,16,3,"而且, 然而, 从而, 自上而下",,"面条, 下雨"
126,察,16,3,"观察, 查看, 察验, 察言观色",,"祭奠, 擦桌子"
127,拢,16,3,"合拢, 拢共, 拉拢, 拢紧",,"扰乱, 喉咙"
128,掌,16,3,"手掌, 掌声, 掌管, 了如指掌",,"会堂, 海棠"
129,趣,16,3,"有趣, 趣事, 趣味无穷, 志趣",,"赶忙, 赵国"
130,喜,16,3,"喜爱, 喜闻乐见, 喜欢, 喜事",,"嘉奖, 善良"
131,断,17,3,"中断, 断裂, 源源不断, 诊断",,"继续, 继任, 继往开来"
132,楚,17,3,"楚江, 楚国, 清楚, 苦楚, 凄楚",,"做梦, 禁止"
133,至,17,3,"至此, 甚至, 至高无上, 至宝",,"到达, 神圣"
134,孤,17,3,"孤帆, 孤独, 孤儿, 孤家, 孤王",,"狐狸, 抓住"
135,帆,17,3,"孤帆, 帆船, 风帆, 一帆风顺",,"平凡, 巩固"
136,饮,17,3,"饮茶, 饮水思源, 冷饮, 饮恨",,"炊烟, 钦差"
137,初,17,3,"初晴, 初冬, 初级, 和好如初",,"一切, 唠叨"
138,镜,17,3,"镜子, 穿衣镜, 镜片, 眼镜",,"境界, 竟然"
139,未,17,3,"未知, 未来, 未雨绸缪, 未时",,"末尾, 朱砂"
140,磨,17,3,"磨刀, 磨练, 折磨, 消磨, 磨灭",,"摩擦, 魔鬼"
141,遥,17,3,"遥望, 遥控, 遥远, 遥遥无期",,"瑶琴, 造谣"
142,银,17,3,"白银, 银发, 银色, 银光闪闪",,"无垠, 很好"
143,盘,17,3,"盘子, 托盘, 盘旋, 盘根错节",,"监考, 面盆"
144,优,18,3,"优美, 优秀, 优胜劣汰, 优裕",,"犹豫, 忧伤"
145,淡,18,3,"淡青, 淡黄色, 天高云淡, 淡水湖",,"谈话, 炎热"
146,浅,18,3,"浅水, 浅滩, 深入浅出, 浅红色",,"金钱, 丝线"
147,错,18,3,"交错, 错综复杂, 认错, 不错",,"借口, 可惜"
148,岩,18,3,"岩石, 岩浆, 岩洞, 岩壁, 山岩",,"石头, 开拓"
149,虾,18,3,"龙虾, 虾米, 大虾, 虾兵蟹将",,"吓一跳, 吓唬"
150,挺,18,3,"挺巧, 挺拔, 挺直, 挺胸抬头",,"蜻蜓, 舰艇"
151,刺,18,3,"刺猬, 鱼刺, 刺绣, 悬梁刺股",,乘剌
152,鼓,18,3,"鼓起, 一鼓作气, 军鼓, 腰鼓",,"豆豉, 彭老师"
153,数,18,3,"数不清, 数星星, 数落, 数说",,"楼房, 救命"
154,厚,18,3,"厚实, 厚纸, 厚袄, 忠厚, 厚道",,"原因, 厘米"
155,宝,18,3,"宝贵, 宝石, 珍宝, 珠光宝气",,"晶莹, 卧室"
156,贵,18,3,"宝贵, 高贵, 贵族, 达官贵人",,"肠胃, 责任"
157,滨,19,3,"海滨, 湖滨, 江滨, 滨海",,"五彩缤纷, 宾客"
158,灰,19,3,"灰色, 银灰, 灰头土脸, 烟灰",,"恢复, 朋友"
159,飘,19,3,"飘落, 飘摇, 飘带, 红旗飘扬",,"水瓢, 漂浮"
160,渔,19,3,"渔民, 渔火, 涸泽而渔, 竭泽而渔, 渔利",,"鱼虾, 涌泉"
161,遍,19,3,"遍地, 遍布, 漫山遍野, 三遍",,"偏高, 扁担"
162,躺,19,3,"躺下, 躺倒, 躺着, 平躺",,"倘若, 流淌"
163,载,19,3,"装载, 满载而归, 怨声载道",,"栽树, 裁剪"
164,靠,19,3,"靠岸, 靠着, 依靠, 无依无靠",,"悲痛, 犯罪"
165,亚,19,3,"亚热带, 亚军, 亚洲, 亚运会",,"作业, 正确"
166,夏,19,3,"初夏, 夏天, 立夏, 华夏, 夏朝",,"大厦, 复习"
167,除,19,3,"除外, 消除, 剔除, 为民除害",,"徐徐上升, 涂抹"
168,踩,19,3,"踩踏, 踩高跷, 踩点, 踩气球",,"理睬, 舞蹈"
169,洁,19,3,"整洁, 清洁, 廉洁, 洁身自好",,"结束, 拮据"
170,脑,20,3,"脑袋, 头脑, 大脑, 探头探脑",,"懊恼, 恼怒"
171,袋,20,3,"脑袋, 口袋, 塑料袋, 布袋, 麻袋",,"装满, 贷款"
172,严,20,3,"严严实实, 嘴严, 严冬, 严肃",,"财产, 亚洲"
173,实,20,3,"严严实实, 充实, 实惠, 真实",,"买卖, 头发"
174,挡,20,3,"挡住, 阻挡, 遮风挡雨, 窗挡",,"档案, 裤裆"
175,视,20,3,"视线, 视力, 注视, 一视同仁",,"祝福, 观察"
176,线,20,3,"视线, 光线, 棉线, 穿针引线",,"铜钱, 深浅"
177,坛,20,3,"花坛, 酒坛, 坛子, 坛坛罐罐",,"云层, 纷纭"
178,显,20,3,"显得, 显示, 明显, 显著, 显贵",,"湿润, 星光"
179,材,20,3,"药材, 材料, 器材, 因材施教",,"村庄, 森林"
180,软,20,3,"柔软, 松软, 欺软怕硬, 软弱",,"砍柴, 钦佩"
181,刮,20,3,"刮倒, 刮风, 刮脸, 刮胡子",,"凌乱, 甜蜜"
182,库,20,3,"宝库, 水库, 金库, 仓库, 车库",,"衣裤, 裤子, 秋裤"
183,妙,21,3,"美妙, 妙不可言, 巧妙, 妙用",,"抄写, 炒菜"
184,演,21,3,"演奏, 演员, 表演, 演变, 演化",,寅时
185,奏,21,3,"合奏, 奏乐, 伴奏, 上奏, 启奏",,"奉献, 泰山"
186,琴,21,3,"手风琴, 口琴, 弹琴, 琴瑟在御",,"琵琶, 萧瑟"
187,感,21,3,"感受, 感到, 感动, 感人肺腑",,"减轻, 疑惑"
188,受,21,3,"感受, 接受, 忍受, 受罪, 受害",,"爱心, 教授"
189,激,21,3,"激动, 感激, 慷慨激昂, 激烈",,"清澈, 收缴"
190,击,21,3,"打击, 撞击, 击败, 无懈可击",,"出力, 吉祥"
191,器,21,3,"乐器, 瓷器, 成器, 大器晚成",,"哭声, 嚣张"
192,滴,21,3,"雨滴, 汗滴, 水滴, 一滴血",,"摘花, 嘀嗒"
193,敲,21,3,"敲敲打打, 敲门, 敲诈, 敲竹杠",,"稿子, 搞笑"
194,鸣,21,3,"虫鸣, 鸣叫, 鸣谢, 百家争鸣",,"飞鸟, 呜咽"
195,诉,21,3,"告诉, 诉苦, 如泣如诉, 起诉",,"拆信, 斥责"
196,读,22,3,"读书, 读者, 朗读, 默读, 走读",,"持续, 渎职"
197,麻,22,3,"麻雀, 麻醉, 麻木不仁, 麻痹",,"床位, 庆祝"
198,勇,22,3,"勇气, 勇敢, 勇猛, 有勇有谋",,"涌泉, 男孩"
199,蚂,22,3,蚂蚁,,"数码, 玛瑙"
200,蚁,22,3,"蚂蚁, 蚁穴, 白蚁, 群蚁溃堤",,"议论, 仪式"
201,短,22,3,"长短, 短缺, 短处, 取长补短",,"矮小, 高矮"
202,栽,22,3,"栽树, 栽花, 栽跟头, 桃栽",,"载重, 裁剪"
203,梨,22,3,"梨树, 鸭梨, 梨花, 梨花带雨",,"犁地, 柴火"
204,寸,22,3,"尺寸, 分寸, 一寸, 寸土寸金",,"才华, 付出"
205,柔,22,3,"温柔, 刚柔并济, 柔软, 柔嫩",,"揉腿, 集合"
206,摇,22,3,"一摇一晃, 动摇, 摇晃, 摇头摆尾",,"歌谣, 瑶池"
207,册,22,3,"画册, 名册, 纪念册, 一册书",,"删除, 栅栏"
208,朝,23,3,"朝前, 朝见, 朝拜, 改朝换代",,"潮湿, 嘲笑"
209,雾,23,3,"雾蒙蒙, 浓雾, 云雾, 云山雾罩",,"零钱, 雷雨"
210,蒙,23,3,"雾蒙蒙, 蒙蒙细雨, 启蒙, 蒙面",,"朦胧, 豪华"
211,鼻,23,3,"鼻子, 鼻梁, 鼻青脸肿, 门鼻儿",,"舅妈, 鼾声"
212,总,23,3,"总是, 总结, 总算, 总而言之",,"聪明, 怠慢"
213,抖,23,3,"抖动, 颤抖, 发抖, 瑟瑟发抖",,"科学, 材料"
214,露,23,3,"露水, 露营, 露珠, 风餐露宿",,"大雾, 柿霜"
215,湿,23,3,"湿气, 湿度, 潮湿, 湿淋淋",,"显示, 温暖"
216,吸,23,3,"呼吸, 吸引, 吸收, 吸纳, 吸取",,"等级, 汲取"
217,猎,23,3,"猎人, 打猎, 猎取, 猎犬, 猎奇",,"借书, 可惜"
218,翅,23,3,"翅膀, 双翅, 展翅, 插翅难逃",,"翘起, 羽毛"
219,膀,23,3,"翅膀, 肩膀, 膀子, 膀大腰圆",,"榜样, 滂沱"
220,重,23,3,"沉重, 举重, 重量, 体重, 重病",,"童年, 质量"
221,司,24,3,"司马, 司法, 司机, 各司其职",,"词语, 合同"
222,庭,24,3,"庭院, 家庭, 大庭广众, 法庭",,"宫廷, 挺立"
223,登,24,3,"登山, 攀登, 登记, 五谷丰登",,"凳子, 澄清"
224,跌,24,3,"跌跤, 跌倒, 跌跌撞撞, 下跌",,"跳跃, 秩序"
225,众,24,3,"群众, 大众, 众人, 众志成城",,"从前, 言听计从"
226,弃,24,3,"放弃, 抛弃, 丢弃, 弃暗投明",,"奇异, 充实"
227,持,24,3,"持笔, 坚持, 持之以恒, 操持",,"特殊, 等待"
228,郊,25,3,"郊区, 郊外, 郊游, 荒郊野岭",,"仿效, 饺子"
229,养,25,3,"养病, 修养, 养育, 颐养天年",,"差劲, 卷尺"
230,粉,25,3,"粉红色, 粉笔, 粉碎, 粉身碎骨",,"年份, 扮演"
231,谷,25,3,"谷粒, 谷物, 五谷丰登, 峡谷",,"古代, 容易"
232,粒,25,3,"谷粒, 米粒, 沙粒, 一粒米",,"哭泣, 立正"
233,男,25,3,"男孩, 男生, 男女老少, 长男",,"世界, 另外"
234,或,25,3,"或者, 或多或少, 或许",,"成功, 迷惑"
235,者,25,3,"或者, 读者, 作者, 老者, 患者",,"诸位, 著名"
236,冻,25,3,"冻死, 防冻, 冷冻, 天寒地冻",,"栋梁, 东西"
237,冷,25,3,"寒冷, 冷落, 冷淡, 冷若冰霜",,"泠风, 伶俐"
238,惜,25,3,"可惜, 惋惜, 珍惜, 依依惜别",,"差错, 借助"
239,肯,25,3,"不肯, 肯定, 首肯, 中肯",,"啃骨头, 后背"
240,诚,25,3,"诚实, 诚恳, 诚心诚意, 诚然",,"城墙, 成功"
241,术,26,3,"造纸术, 美术, 武术, 防御之术",,"木头, 本来"
242,斗,26,3,"争奇斗艳, 战斗, 斗智, 斗智",,"抖动, 头脑"
243,刚,26,3,"刚才, 刚走, 刚刚, 外柔内刚",,"钢铁, 山冈"
244,烈,26,3,"热烈, 激烈, 壮烈, 轰轰烈烈",,"裂纹, 列车"
245,离,26,3,"离去, 离开, 离别, 骨肉分离",,"禽兽, 篱笆"
246,血,26,3,"血液, 鲜血, 血浆, 鲜血淋淋",,"器皿, 山丘"
247,仍,26,3,"仍然, 仍旧, 频仍, 一仍其旧",,"扔掉, 奶奶"
248,取,26,3,"取衣服, 录取, 取笑, 取长补短",,"勇敢, 职业"
249,匆,26,3,"匆匆, 匆忙, 匆促, 来去匆匆",,"勿扰, 勿忘我"
250,险,26,3,"危险, 险境, 遇险, 化险为夷",,"捡起, 检查"
